broj_karte,putnici,sifra_konkretnog_leta,status,obrisana,datum_prodaje,prodavac,kupac,sediste
12,"[{'ime': 'Kivi', 'prezime': 'Patic', 'uloga': 'korisnik', 'korisnicko_ime': 'KiviPatic'}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Kivi', 'prezime': 'Patic', 'uloga': 'korisnik', 'korisnicko_ime': 'KiviPatic'}",
13,"[{'ime': 'Kivi', 'prezime': 'Patic', 'uloga': 'korisnik', 'korisnicko_ime': 'KiviPatic'}]",6190,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Kivi', 'prezime': 'Patic', 'uloga': 'korisnik', 'korisnicko_ime': 'KiviPatic'}",
14,"[{'ime': 'Filip', 'prezime': 'Gradis', 'uloga': 'korisnik', 'korisnicko_ime': 'FilipGradis'}]",6159,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Filip', 'prezime': 'Gradis', 'uloga': 'korisnik', 'korisnicko_ime': 'FilipGradis'}",
15,"[{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MihajloAndric'}]",6159,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MihajloAndric'}",
16,"[{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MihajloAndric'}]",5783,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MihajloAndric'}",
17,"[{'ime': 'Matija', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MatijaAndric'}]",5783,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'MatijaAndric'}",
18,"[{'ime': 'Elena', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'ElenaAndric'}]",5328,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'ElenaAndric'}",
19,"[{'ime': 'Ana', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'AnaAndric'}]",5641,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Mihajlo', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'AnaAndric'}",
20,"[{'ime': 'Ana', 'prezime': 'Andric', 'uloga': 'korisnik', 'korisnicko_ime': 'AnaAndric'}]",5641,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
22,"[{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}]",6180,nerealizovana_karta,False,2023-02-01,"{'kor_ime': 'Onlajn prodavac', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
